# The delisting register. Forms 25 and 25-NSE are DELISTINGS;
# every 15* form is DEREGISTRATION and is never summed with them.
# A Form 15 can be filed by a company that was never listed.
# quarters read: 15, (2023, 1) to (2026, 3)
# delisting filings: 7399; distinct delisted issuers: 2781; deregistration filings: 2544
form	cik	company	date_filed	path
25-NSE	1354457	Nasdaq Stock Market LLC	2023-01-20	edgar/data/1354457/0001354457-23-000031.txt
25-NSE	1354457	Nasdaq Stock Market LLC	2023-01-20	edgar/data/1354457/0001354457-23-000032.txt
25-NSE	1354457	Nasdaq Stock Market LLC	2023-01-20	edgar/data/1354457/0001354457-23-000034.txt
25-NSE	1587982	Investment Managers Series Trust II	2023-01-20	edgar/data/1587982/0001354457-23-000034.txt
25-NSE	1773250	MAVERIX METALS INC.	2023-01-20	edgar/data/1773250/0001143313-23-000005.txt
25-NSE	1805087	GELESIS HOLDINGS, INC.	2023-01-20	edgar/data/1805087/0000876661-23-000062.txt
25-NSE	1823481	TZP Strategies Acquisition Corp.	2023-01-20	edgar/data/1823481/0001354457-23-000031.txt
25-NSE	1823882	Airspan Networks Holdings Inc.	2023-01-20	edgar/data/1823882/0001143313-23-000007.txt
25-NSE	1827392	Authentic Equity Acquisition Corp.	2023-01-20	edgar/data/1827392/0001354457-23-000032.txt
25-NSE	876661	NEW YORK STOCK EXCHANGE LLC	2023-01-20	edgar/data/876661/0000876661-23-000062.txt
15-12G	1111863	SIERRA WIRELESS INC	2023-01-23	edgar/data/1111863/0001193125-23-013219.txt
15-12G	1557127	UserTesting, Inc.	2023-01-23	edgar/data/1557127/0001104659-23-005801.txt
15-12G	1623715	Imago BioSciences, Inc.	2023-01-23	edgar/data/1623715/0001193125-23-012596.txt
15-12G	1744179	Oaktree Strategic Income II, Inc.	2023-01-23	edgar/data/1744179/0001193125-23-012743.txt
15-12G	1819496	IG Acquisition Corp.	2023-01-23	edgar/data/1819496/0001213900-23-004278.txt
15-12G	1823855	MARLIN TECHNOLOGY CORP.	2023-01-23	edgar/data/1823855/0001193125-23-013238.txt
15-12G	1829427	Powered Brands	2023-01-23	edgar/data/1829427/0001104659-23-005812.txt
15-12G	1831928	Deep Lake Capital Acquisition Corp.	2023-01-23	edgar/data/1831928/0001140361-23-002436.txt
25	1030475	CHINA EASTERN AIRLINES CORP LTD	2023-01-23	edgar/data/1030475/0001193125-23-012523.txt
25	1041668	CHINA SOUTHERN AIRLINES CO LTD	2023-01-23	edgar/data/1041668/0001193125-23-012527.txt
25-NSE	1143362	NYSE ARCA, INC.	2023-01-23	edgar/data/1143362/0001143362-23-000021.txt
25-NSE	1143362	NYSE ARCA, INC.	2023-01-23	edgar/data/1143362/0001143362-23-000023.txt
25-NSE	1484018	Spinnaker ETF Series	2023-01-23	edgar/data/1484018/0001143362-23-000021.txt
25-NSE	1547950	Exchange Listed Funds Trust	2023-01-23	edgar/data/1547950/0001143362-23-000023.txt
25-NSE	1834489	Genius Sports Ltd	2023-01-23	edgar/data/1834489/0000876661-23-000064.txt
25-NSE	876661	NEW YORK STOCK EXCHANGE LLC	2023-01-23	edgar/data/876661/0000876661-23-000064.txt
15-12G	1688487	Metaurus Equity Component Trust	2023-01-24	edgar/data/1688487/0001213900-23-004753.txt
25-NSE	1143362	NYSE ARCA, INC.	2023-01-24	edgar/data/1143362/0001143362-23-000026.txt
25-NSE	1354457	Nasdaq Stock Market LLC	2023-01-24	edgar/data/1354457/0001354457-23-000038.txt
25-NSE	1354457	Nasdaq Stock Market LLC	2023-01-24	edgar/data/1354457/0001354457-23-000040.txt
25-NSE	1508033	Volt ETF Trust	2023-01-24	edgar/data/1508033/0001143362-23-000026.txt
25-NSE	1576169	Benefitfocus, Inc.	2023-01-24	edgar/data/1576169/0001354457-23-000038.txt
25-NSE	1822312	Jack Creek Investment Corp.	2023-01-24	edgar/data/1822312/0001354457-23-000040.txt
15-15D	1781565	John Deere Owner Trust 2019-B	2023-01-25	edgar/data/1781565/0001104659-23-006429.txt
25-NSE	1354457	Nasdaq Stock Market LLC	2023-01-25	edgar/data/1354457/0001354457-23-000042.txt
25-NSE	1354457	Nasdaq Stock Market LLC	2023-01-25	edgar/data/1354457/0001354457-23-000043.txt
25-NSE	1354457	Nasdaq Stock Market LLC	2023-01-25	edgar/data/1354457/0001354457-23-000044.txt
25-NSE	1354457	Nasdaq Stock Market LLC	2023-01-25	edgar/data/1354457/0001354457-23-000045.txt
25-NSE	1417835	Cboe BZX Exchange, Inc.	2023-01-25	edgar/data/1417835/0001417835-23-000007.txt
25-NSE	1417835	Cboe BZX Exchange, Inc.	2023-01-25	edgar/data/1417835/0001417835-23-000009.txt
25-NSE	1518042	NORTHERN LIGHTS FUND TRUST II	2023-01-25	edgar/data/1518042/0001417835-23-000009.txt
25-NSE	1587982	Investment Managers Series Trust II	2023-01-25	edgar/data/1587982/0001417835-23-000007.txt
25-NSE	1704760	American Virtual Cloud Technologies, Inc.	2023-01-25	edgar/data/1704760/0001354457-23-000042.txt
25-NSE	1862463	Insight Acquisition Corp. /DE	2023-01-25	edgar/data/1862463/0000876661-23-000066.txt
25-NSE	1863685	Thrive Acquisition Corp	2023-01-25	edgar/data/1863685/0001354457-23-000045.txt
25-NSE	876661	NEW YORK STOCK EXCHANGE LLC	2023-01-25	edgar/data/876661/0000876661-23-000066.txt
25-NSE	879682	VIVEVE MEDICAL, INC.	2023-01-25	edgar/data/879682/0001354457-23-000043.txt
25-NSE	922612	SCHMITT INDUSTRIES INC	2023-01-25	edgar/data/922612/0001354457-23-000044.txt
15-12G	1829797	Pioneer Merger Corp.	2023-01-26	edgar/data/1829797/0001104659-23-007081.txt
25-NSE	1354457	Nasdaq Stock Market LLC	2023-01-26	edgar/data/1354457/0001354457-23-000048.txt
25-NSE	1354457	Nasdaq Stock Market LLC	2023-01-26	edgar/data/1354457/0001354457-23-000049.txt
25-NSE	1354457	Nasdaq Stock Market LLC	2023-01-26	edgar/data/1354457/0001354457-23-000050.txt
25-NSE	1828478	SVF Investment Corp.	2023-01-26	edgar/data/1828478/0001354457-23-000049.txt
25-NSE	1830063	North Atlantic Acquisition Corp	2023-01-26	edgar/data/1830063/0001354457-23-000048.txt
